,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
525,-386.6795,74.27445,-17.289635,8.684804,-23.151482,-24.392677,-5.008694,-37.99861,-6.5373044,-20.74788,-11.125082,-7.236348,-22.752926,8.987372,-18.405952,-3.7463431,-6.463823,-17.78915,-2.5583286,-12.271475,-14.148439,-3.1827042,-13.368759,-5.658783,-9.777575,-9.519398,-7.22126,-5.178434,-6.0534916,-4.7044725,-12.368009,-2.343107,-7.233504,7.5206804,6.7021117,18.616123,8.566813,7.81736,-2.26731,0.44222426,Vui Vẻ
154,-363.60394,106.95119,2.6839368,16.042452,-10.249678,-5.8649287,-15.420557,-9.546966,-7.9165664,-7.5667167,-29.4225,-22.863274,-10.587252,-13.950226,-18.03381,-10.968083,-6.241709,-7.3523,-15.944002,-9.016581,-9.893791,0.6538387,-9.857654,-6.532554,-3.940594,1.1698956,4.581834,3.9787972,3.0592623,4.3816514,0.01347971,4.4804354,0.22702953,1.7402455,-4.326454,-1.4660248,-5.503726,-7.4642363,-2.9848607,-1.2773299,Lạnh Lùng
422,-308.32825,104.25849,1.3081747,5.8487067,-26.325724,-4.164137,-16.878153,-4.0083895,-5.64552,-5.2740164,-7.869747,-5.9099026,-2.127877,-10.405314,-2.3952518,-9.981002,-2.9646268,-7.576954,-3.5321748,-4.9119053,-0.37407857,-0.71401125,3.0869744,9.868363,4.13379,10.810827,1.9598274,3.0116782,1.930153,1.2553843,-6.1430335,-1.1346416,-6.3348627,1.0471526,-5.7989693,-1.824581,-4.910663,-3.4970682,-4.658442,-3.5224326,Thân Thiện
583,-358.71173,98.6551,1.0631799,5.417374,-9.653636,-1.7943463,3.4512866,-16.21524,4.769139,-2.4196322,1.1741314,-5.999647,-0.9401285,14.390769,-12.799303,3.8893874,-9.553236,-0.60758424,2.002968,-5.126544,-4.953157,2.87974,-0.78643954,-0.28344712,-1.6585656,-1.7505558,-3.3485365,-0.042536244,-0.47374302,-1.5402056,0.98465866,2.4055579,-0.21138704,5.425318,-0.112395056,0.64477575,-2.7335806,2.0084202,0.62077016,3.0980031,Vui Vẻ
52,-158.20901,23.879015,-48.80068,16.991646,-36.770416,-13.975262,-2.1328976,-12.331571,3.4709845,-13.891641,3.5183008,-15.831328,1.3233804,-12.537118,-6.7329354,5.811313,5.7498302,23.404366,15.087132,8.709877,1.2656379,4.7117314,8.969709,14.911175,-4.932535,-9.932189,-10.741754,3.909329,0.8250418,-11.146287,-9.138022,2.063197,2.0456235,-1.6975527,6.7698007,8.07208,-3.6966143,-1.6203933,1.4824064,0.97530854,Cáu Giận
439,-330.90903,113.10728,-12.902887,24.357197,-6.27908,-11.815892,-5.6255217,-11.293873,2.3132932,-9.901267,0.9577453,-9.517143,2.457657,-0.75493705,-8.753974,2.6088712,-8.157032,-0.1697938,-6.077265,-3.398047,-6.7052956,1.2926054,-3.3815527,-2.0393171,-2.902954,-2.2175848,-3.1523166,3.3654923,1.3990307,4.445546,4.208323,6.0988364,1.8198949,2.9592233,-0.19041444,1.4087665,-0.30098242,3.2957208,0.75367373,1.5843195,Thân Thiện
117,-268.04102,104.414375,-58.695534,21.840996,-25.105862,2.1672459,-7.9729266,-13.591264,5.002319,-7.217861,1.213752,-8.396371,-0.2936246,0.25971594,-11.687051,2.5022898,-10.00718,3.2448237,1.1829296,-4.201434,-1.5221477,-3.8367443,-6.2376757,-1.8955144,-3.4629276,1.6965811,0.9930856,1.2302265,0.36775613,0.38854587,0.53793216,4.169938,0.569274,2.8927972,1.6994889,4.07516,6.056689,7.114764,3.0637827,2.1489348,Cáu Giận
499,-348.54025,53.18854,-3.2977214,14.202577,-23.479427,-32.234142,-7.1446953,-8.004737,-4.4510026,-8.11168,-0.770106,-4.7152987,-1.9392196,-7.8772445,11.067366,6.8714137,6.452285,13.048384,6.0285997,10.561316,10.541824,8.804161,6.7079587,4.7999053,1.8711948,-4.6687055,-5.267723,0.78398633,-1.3304927,-2.9758894,-7.191414,0.50432026,2.9273996,1.8665932,-2.34046,4.766515,1.9201466,-1.4755557,-6.851777,-0.90719736,Vui Vẻ
176,-407.3507,108.85798,12.210693,-3.1598563,-29.343464,-11.089399,-19.227383,-3.9615128,-5.947932,-2.2380443,-9.621046,-2.1386209,-4.9087396,-6.466074,-8.664146,-5.3031907,-8.539301,-4.9193583,-11.728982,-5.451149,-8.4992285,-2.0444865,-3.8061433,-0.0063334703,-0.4875791,3.8528092,7.07895,9.642673,5.1842065,5.600105,-1.3106117,0.7819339,-2.1553967,0.5737576,-1.3367796,-3.14949,-6.714888,-2.3275201,-5.447088,-2.8063617,Lạnh Lùng
418,-326.54495,84.42718,-3.69314,1.4284753,-26.417227,-14.964705,-16.421583,-11.817004,-4.4542537,-7.3886037,-6.2716365,0.9647415,3.058955,-10.567394,-3.6330996,-3.8986428,-3.8426445,-1.7550786,-3.031891,-1.039704,4.3142653,7.1107187,7.2822433,17.476875,13.534213,16.463604,8.909978,4.5351925,-1.5537097,-0.07101694,3.2822247,0.7937275,-3.3920357,-0.9095959,-2.06899,-2.750386,-3.6374135,-3.551007,-4.1490283,-0.97966045,Thân Thiện
