,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
246,-566.8371,110.03154,18.17155,11.335917,2.8343124,14.256273,-2.3445039,-4.7461987,-0.28513372,1.4530898,10.874794,-8.099572,-3.622301,10.377648,-11.028379,5.266779,-10.000998,0.29315314,-2.010516,-2.5254433,-1.0152786,0.25040552,-1.4960799,-2.3689897,-1.759647,-1.5868288,-5.1491027,-2.605677,-0.09273133,-2.7916143,-4.713555,-2.0543628,-2.5844023,-4.561783,-4.421294,-3.2456832,-6.6800175,-3.7056634,-3.0581727,-0.92694986,Mệt Mỏi
244,-457.94656,82.3521,4.036929,20.915724,-11.046146,1.4279003,-3.6971838,2.1409998,-3.089625,2.9104457,-10.045254,5.9751544,0.116462186,-9.431099,-0.39944392,-3.3019202,-4.912344,-0.601816,-4.3377657,0.23316383,-2.8071556,0.62679374,-1.5093458,0.75862557,-0.83171755,7.9973674,8.017916,13.124529,10.256875,9.882566,2.6885743,3.3447852,1.2482032,0.41332462,-3.592429,-1.2142781,-2.3419795,-1.2033436,-3.4581728,-3.0247257,Lạnh Lùng
114,-425.36105,68.45165,-4.7491913,-12.2732935,-18.355574,-2.4171185,-7.593482,-15.51118,-4.3291397,-8.564295,-5.4449883,-2.1127446,-1.6375002,-7.83832,-0.8893795,-1.8859373,-4.0916843,4.446441,0.95007515,2.751434,6.0479794,12.424291,8.778356,6.8844013,-0.8749401,4.7958145,4.220865,2.3600576,-0.8870963,-2.5630546,1.2783011,3.7913458,3.8704262,2.9664423,-1.7700465,-3.32415,-4.3737726,-2.9464579,-3.2656946,-1.4846513,Cáu Giận
41,-435.08087,98.79348,-6.1580076,15.594431,-20.129036,-3.571427,-8.082205,-24.84804,-3.5567627,-5.5856457,21.17706,-8.511951,-11.72092,18.650385,-20.010355,1.8598102,-1.9149349,-11.496481,8.658809,5.134745,-0.2955859,7.6138053,6.2673197,0.100008786,5.1201615,-4.462651,9.581611,-1.4089688,1.8286346,-1.0116205,-4.084722,-0.48991108,-2.4514003,-2.0811183,-5.7591496,1.4176861,3.9612863,6.855413,2.3745558,3.6416116,Cáu Giận
138,-470.43405,110.556564,3.4167223,50.67331,-2.2537897,0.5589046,-5.3274703,-5.8924828,2.0726967,-9.737859,1.625238,-3.5794377,-4.4600863,4.018415,-9.45273,-5.8433,-2.4317741,-3.4853046,-4.4907484,-0.53104556,-5.608477,-0.8193579,-1.7257569,2.1754723,-0.26669714,5.4873343,-3.0193696,1.634288,-1.129452,-2.0653906,-3.376925,-4.8124785,-3.9559424,-0.28625447,-4.642374,-2.9393764,-4.5111775,-1.7742318,-5.594651,-3.400031,Lạnh Lùng
466,-455.16522,104.5677,-3.632602,14.479125,-13.919766,-7.3929887,-14.427869,-10.915909,-6.0189986,-6.9558606,-22.281027,-20.55262,-7.532058,-17.340605,-17.074686,-7.7574363,-4.456982,-3.108522,-13.53828,-9.975289,-10.252918,-4.1096773,-3.0752363,4.374272,2.9022875,3.9438875,-0.7333119,-2.1224587,0.9270189,5.354726,0.72339773,-1.9868159,-5.798173,-4.4610972,-6.5799203,-0.2839741,-6.693384,-8.715292,-7.5323534,-2.3774881,Thân Thiện
518,-481.5203,64.67021,-2.3097377,-0.51039135,-21.782837,-7.577055,-18.05354,-9.367342,-1.640272,-3.591054,-2.493292,-2.4852169,2.514486,-12.496231,1.3668097,-5.755001,-1.0245914,-5.4442534,-5.835539,-1.7392329,-0.25862986,8.850835,11.340122,18.863428,15.220392,14.557116,4.736397,2.1710856,-1.468928,2.6701026,1.240437,0.30883265,-2.3663592,-2.6823153,-3.470066,-4.3964157,-6.233038,-3.2440808,-7.1773977,-4.743316,Vui Vẻ
9,-354.84903,63.643574,-25.547926,26.879282,-43.847767,6.9141235,-17.186033,-2.2180564,-5.857016,-3.0252137,-2.3692677,-4.2454424,4.201485,-4.4367323,-0.5782601,-2.6858587,-6.237489,-6.6417313,-2.7284124,-3.2930448,5.0519757,9.1368065,10.685014,12.036134,5.420851,6.9470873,6.380421,6.2036533,4.6311803,-3.7147505,-4.3135786,-0.3779573,1.3359354,-0.4891139,-6.353102,-2.645704,-0.6742136,-2.8743374,-5.5638413,-7.1072044,Cáu Giận
510,-348.19073,64.73983,-18.258898,-18.073263,-22.677107,-7.8830953,-16.961735,-7.319627,-4.427795,-9.466354,-8.959762,1.9175953,-6.149718,-7.0928693,-6.8592544,-5.321068,-3.8897007,-4.663191,-1.3178297,-1.6933728,8.759554,7.0880966,12.350919,8.023015,0.60492474,1.1752218,-0.18169884,3.8744226,0.5215921,-0.66077465,-4.5928583,-1.5097986,-0.35266063,-0.68873554,-2.522023,-0.28088742,0.80108356,-1.9233321,-5.0137715,-1.2945341,Vui Vẻ
182,-478.63852,111.7097,12.863555,22.475122,-7.6973495,-5.197307,-9.706836,-15.9246025,-4.053393,-13.221438,3.5311403,-6.4126654,-2.7391644,8.421025,-11.348497,2.193747,-5.6296515,-0.7053085,-2.4916613,-3.7746649,-8.024373,-4.7050157,3.5575037,1.2454182,1.7231866,-2.2020862,-5.069242,-0.93488497,-2.1870117,-0.5288975,-3.1429238,0.09425019,-2.0347295,-2.260752,-6.94079,-2.0058696,-4.953757,-1.0371395,-3.4252272,1.2153301,Lạnh Lùng
